WKT,zuordnung_,
"LINESTRING (16.203761898171923 48.193285036812078,16.205557107202885 48.194562507893401,16.208937307210348 48.198605407901276,16.210451207213698 48.199898807903736,16.212128007217412 48.201020907905821)",Westautobahn
"LINESTRING (16.197793907186004 48.167342607838293,16.197520907185407 48.166980607837601,16.193924533229694 48.166171279913939)",Hirschgstemmstraße
"LINESTRING (16.193922107176437 48.22754650796287,16.192830307174024 48.226494607960859,16.19031180716842 48.225336707958775,16.189184207165919 48.225059907958354,16.188646707164718 48.225069407958465,16.187184807161461 48.224522007957518)",Hannbaumstraße
"LINESTRING (16.187620807162446 48.224154207956708,16.189655507166972 48.224436507957009,16.191362307170774 48.2249250079578,16.194009807176666 48.225101207957792)",Mittlere Straße
"LINESTRING (16.188517207164448 48.223739307955725,16.189994607167751 48.223718407955495,16.191696807171521 48.224055907955972,16.194478907177729 48.224241907955971)",Heidestraße
"LINESTRING (16.189577258525443 48.223120999101006,16.189704307167109 48.223113107954298)",Touristenweg
"LINESTRING (16.189704307167109 48.223113107954298,16.191042014719795 48.223290166817314)",Touristenweg
"LINESTRING (16.192057978526073 48.223469381644755,16.193915608632999 48.223436686880653)",Touristenweg
"LINESTRING (16.193933894973267 48.223436313994426,16.195142189350399 48.223400602611648)",Touristenweg
"LINESTRING (16.193809410807585 48.24416216487667,16.194054707176438 48.244517107997773)",Steinbachstraße
"LINESTRING (16.195716989858454 48.223383951416963,16.195881607180862 48.223736907954759,16.195488107179976 48.224061207955494,16.194478907177729 48.224241907955971,16.195121807179149 48.224626407956706,16.196346207181882 48.224359807955977,16.196424207182059 48.224451207956129,16.194880107178594 48.22560610795874,16.194222907177139 48.225092507957768,16.194009807176666 48.225101207957792,16.194584707177935 48.226009107959619,16.195482507179936 48.226256007959989,16.196814507182896 48.226033007959344,16.196939507183171 48.226489707960269,16.196366207181885 48.226934507961268,16.1948964071786 48.22744170796252,16.194252707177164 48.227430307962564,16.193903007176392 48.227209807962176,16.193922107176437 48.22754650796287)",Hühnersteigstraße
