WKT;rasterval
LINESTRING (16.2038 48.1933,16.2056 48.1946,16.2089 48.1986,16.2105 48.1999,16.2121 48.201);Westautobahn
LINESTRING (16.1978 48.1673,16.1975 48.167,16.1939 48.1662);Hirschgstemmstraße
LINESTRING (16.1939 48.2275,16.1928 48.2265,16.1903 48.2253,16.1892 48.2251,16.1886 48.2251,16.1872 48.2245);Hannbaumstraße
LINESTRING (16.1876 48.2242,16.1897 48.2244,16.1914 48.2249,16.194 48.2251);Mittlere Straße
LINESTRING (16.1885 48.2237,16.19 48.2237,16.1917 48.2241,16.1945 48.2242);Heidestraße
LINESTRING (16.1896 48.2231,16.1897 48.2231);Touristenweg
LINESTRING (16.1897 48.2231,16.191 48.2233);Touristenweg
LINESTRING (16.1921 48.2235,16.1939 48.2234);Touristenweg
LINESTRING (16.1939 48.2234,16.1951 48.2234);Touristenweg
LINESTRING (16.1938 48.2442,16.1941 48.2445);Steinbachstraße
LINESTRING (16.1957 48.2234,16.1959 48.2237,16.1955 48.2241,16.1945 48.2242,16.1951 48.2246,16.1963 48.2244,16.1964 48.2245,16.1949 48.2256,16.1942 48.2251,16.194 48.2251,16.1946 48.226,16.1955 48.2263,16.1968 48.226,16.1969 48.2265,16.1964 48.2269,16.1949 48.2274,16.1943 48.2274,16.1939 48.2272,16.1939 48.2275);Hühnersteigstraße
LINESTRING (16.1939 48.2421,16.1944 48.2424,16.1942 48.2429,16.1946 48.2439,16.1956 48.2454);Wiesenweg Steinbachtal
LINESTRING (16.197 48.2298,16.1958 48.2289,16.1949 48.2286,16.1939 48.2275);Hannbaumstraße
LINESTRING (16.1941 48.2445,16.1941 48.2446);Steinbachstraße
LINESTRING (16.1943 48.1673,16.1942 48.1667,16.1947 48.166,16.198 48.1656,16.1985 48.1652,16.1997 48.1649,16.2006 48.1644,16.2017 48.1641,16.2056 48.1622,16.2079 48.1614,16.2079 48.1612,16.2071 48.1607,16.2055 48.16,16.2055 48.1596,16.2131 48.1596,16.2139 48.1594);Bärenbergstraße
LINESTRING (16.1947 48.2283,16.1949 48.2281);Stiegengasse
LINESTRING (16.1949 48.2281,16.1959 48.2282,16.1969 48.2287,16.1981 48.228,16.1983 48.2282);Stiegengasse
LINESTRING (16.1961 48.2492,16.1963 48.2497,16.1972 48.2506);Pilzengraben
LINESTRING (16.1974 48.2508,16.1976 48.2508);Pilzengraben
LINESTRING (16.198 48.2513,16.1981 48.2514);Pilzengraben
LINESTRING (16.2033 48.2553,16.2036 48.2554);Pilzengraben
LINESTRING (16.1964 48.2477,16.1968 48.2484,16.1966 48.2493,16.1974 48.2491,16.1978 48.2482,16.198 48.2483,16.1983 48.2489,16.1989 48.2488);Lebereckstraße
LINESTRING (16.1964 48.2285,16.1976 48.2277);Sackgasse
LINESTRING (16.1966 48.2295,16.1976 48.2294,16.1983 48.2282,16.1995 48.2275,16.1992 48.2269,16.1984 48.2263);Kampfstraße
LINESTRING (16.197 48.2299,16.197 48.2298);Augustinerwaldstraße
LINESTRING (16.1978 48.2297,16.197 48.2298);Hohe-Wand-Gasse
LINESTRING (16.1979 48.2315,16.1979 48.2315);Mauerbachstraße
LINESTRING (16.1981 48.2314,16.1982 48.2314);Mauerbachstraße
LINESTRING (16.1984 48.2313,16.1995 48.2309);Mauerbachstraße
LINESTRING (16.1979 48.1675,16.1978 48.1673);Sailergrabenbrücke
LINESTRING (16.2016 48.1691,16.1979 48.1675);Hirschgstemmstraße
LINESTRING (16.199 48.2298,16.1989 48.2298);Augustinerwaldbrücke
LINESTRING (16.2001 48.2305,16.199 48.2298);Hohe-Wand-Gasse
LINESTRING (16.1993 48.231,16.2002 48.2331,16.2002 48.2338);Sofienalpenstraße
LINESTRING (16.1995 48.2309,16.1997 48.2308);Hainbachbrücke
LINESTRING (16.1997 48.2308,16.2001 48.2305);Mauerbachstraße
LINESTRING (16.2001 48.2305,16.2012 48.2298,16.2057 48.2276,16.2082 48.2257,16.2096 48.2243);Mauerbachstraße
LINESTRING (16.2002 48.2338,16.2002 48.2339);Kellermannbrücke
LINESTRING (16.2002 48.2339,16.2024 48.236,16.203 48.2368,16.203 48.2373,16.2042 48.2382,16.2051 48.2393);Sofienalpenstraße
LINESTRING (16.2006 48.2133,16.2036 48.2129,16.2063 48.2115);Wurzbachtalgasse
LINESTRING (16.212 48.2011,16.2103 48.2,16.2088 48.1987,16.2054 48.1947,16.2038 48.1935);Westautobahn
LINESTRING (16.2019 48.2295,16.2014 48.2291,16.2011 48.2284,16.2029 48.2281,16.2052 48.2271,16.2057 48.2276);Greutberggasse
LINESTRING (16.2027 48.206,16.2028 48.206);Christkindlweg
LINESTRING (16.2017 48.1693,16.2016 48.1691);Hirschgstemmstraße
LINESTRING (16.2033 48.1714,16.2017 48.1693);Hirschgstemmstraße
LINESTRING (16.202 48.2048,16.2022 48.2042,16.2034 48.2036,16.2042 48.2035,16.2061 48.2029,16.2075 48.2029);Mooswiesengasse
LINESTRING (16.2033 48.2035,16.2034 48.2036);Waldgasse
